YoB,%vote,HOFm,HOFs,Yrs,WAR,WAR7,JAWS,Jpos,G,AB,R,H,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+
10,0.12300000000000001,170,42,16,62.2,41.9,52.0,53.4,1874,6187,1167,1626,583,1414,12,1317,0.263,0.394,0.588,0.982,163.0
2,0.11599999999999999,158,61,22,60.5,38.0,49.3,56.7,2576,9217,1636,2689,509,1676,253,1475,0.292,0.393,0.514,0.907,140.0
4,0.07,202,52,18,58.6,43.8,51.2,56.7,2354,8813,1475,2408,609,1667,234,929,0.273,0.344,0.534,0.878,128.0
1,0.025,89,39,17,60.4,42.6,51.5,58.1,2011,6858,1251,1949,393,1199,67,998,0.284,0.376,0.527,0.903,132.0
2,0.018000000000000002,113,41,14,44.3,43.1,43.7,55.4,1434,5586,927,1747,229,936,95,403,0.313,0.361,0.521,0.882,124.0
1,0.006999999999999999,49,28,16,24.8,21.8,23.3,53.4,1454,5188,759,1540,215,909,53,522,0.297,0.366,0.486,0.851,118.0
1,0.005,108,38,15,41.7,30.4,36.0,44.2,2085,7627,1030,2195,75,744,189,721,0.288,0.366,0.378,0.744,95.0
1,0.005,28,21,10,20.9,19.0,20.0,55.4,1311,5041,701,1414,35,392,123,376,0.28,0.345,0.355,0.701,87.0
1,0.002,74,33,17,25.7,22.8,24.2,53.4,2228,8640,1084,2529,287,1365,80,429,0.293,0.324,0.461,0.785,102.0
1,0.0,20,19,13,27.5,24.6,26.1,58.1,1717,6186,863,1759,110,662,215,526,0.284,0.343,0.416,0.759,99.0
1,0.0,41,23,13,24.8,23.5,24.2,55.8,1601,5813,771,1619,223,952,30,548,0.279,0.342,0.464,0.805,108.0
1,0.0,49,25,15,26.5,20.7,23.6,57.0,1802,7052,946,2040,90,640,133,364,0.289,0.332,0.393,0.725,90.0
1,0.0,59,28,13,38.1,32.9,35.5,55.8,1537,5410,889,1375,320,950,56,854,0.254,0.358,0.489,0.847,119.0
1,0.0,61,31,15,29.1,24.0,26.6,57.0,1720,6510,1001,1889,28,443,370,800,0.29,0.368,0.351,0.719,92.0
1,0.0,80,25,18,16.5,15.1,15.8,44.2,1971,6279,718,1579,80,607,102,634,0.251,0.325,0.344,0.669,75.0
7,0.862,150,59,15,79.9,48.4,64.1,53.4,2150,7797,1517,2314,449,1529,202,1401,0.297,0.408,0.54,0.948,149.0
10,0.86,91,47,23,69.4,42.4,55.9,53.4,2502,8872,1571,2605,170,980,808,1330,0.294,0.385,0.425,0.81,123.0
1,0.76,226,59,21,68.7,39.8,54.3,44.2,2543,9592,1354,2844,311,1332,127,513,0.296,0.334,0.464,0.798,106.0
1,0.7170000000000001,209,59,16,59.5,41.2,50.3,56.7,2147,8155,1328,2590,449,1496,181,737,0.318,0.379,0.553,0.931,140.0
8,0.586,132,50,18,68.4,43.7,56.0,55.8,2055,7213,1219,2247,309,1261,49,1283,0.312,0.418,0.515,0.933,147.0
5,0.5379999999999999,340,77,22,162.8,72.7,117.7,53.4,2986,9847,2227,2935,762,1996,514,2558,0.298,0.444,0.607,1.051,182.0
1,0.23800000000000002,226,69,19,69.3,39.9,54.6,53.4,2302,8244,1544,2574,555,1831,38,1329,0.312,0.411,0.585,0.996,154.0
7,0.21899999999999997,148,58,17,72.7,44.7,58.7,56.7,1988,6907,1355,2160,383,1311,230,913,0.313,0.4,0.565,0.965,141.0
8,0.217,100,48,19,52.6,36.0,44.3,53.4,2460,8757,1349,2490,493,1550,72,1305,0.284,0.377,0.509,0.886,134.0
4,0.16699999999999998,123,51,17,55.5,35.8,45.6,57.0,2298,8498,1320,2461,377,1518,94,801,0.29,0.356,0.5,0.855,123.0
3,0.133,158,61,22,60.5,38.0,49.3,56.7,2576,9217,1636,2689,509,1676,253,1475,0.292,0.393,0.514,0.907,140.0
5,0.086,202,52,18,58.6,43.8,51.2,56.7,2354,8813,1475,2408,609,1667,234,929,0.273,0.344,0.534,0.878,128.0
1,0.038,98,40,17,42.7,32.6,37.7,44.2,1829,6092,900,1664,275,1065,20,936,0.273,0.374,0.474,0.848,121.0
1,0.006999999999999999,114,42,15,38.8,32.1,35.5,56.7,1848,6978,1076,2156,294,1236,94,651,0.309,0.369,0.502,0.871,125.0
1,0.005,109,38,16,32.4,25.7,29.0,55.4,2152,8142,1200,2327,140,923,294,718,0.286,0.343,0.398,0.741,94.0
1,0.005,54,31,15,24.2,18.8,21.5,44.2,1546,5099,664,1307,193,757,25,614,0.256,0.341,0.435,0.776,99.0
1,0.0,19,19,13,28.3,26.0,27.2,55.8,1556,5422,794,1503,171,754,93,520,0.277,0.35,0.431,0.781,105.0
1,0.0,58,30,15,34.5,27.3,30.9,53.4,1942,6962,1081,1959,331,1078,104,874,0.281,0.365,0.495,0.859,122.0
1,0.0,34,11,10,15.8,16.1,16.0,57.0,904,3402,434,1012,48,371,13,180,0.297,0.335,0.413,0.748,98.0
1,0.0,30,25,14,27.7,24.2,26.0,55.4,1305,4673,733,1331,124,660,74,510,0.285,0.355,0.443,0.798,111.0
1,0.0,20,26,14,44.9,32.1,38.5,56.7,1566,5173,944,1437,242,795,87,862,0.278,0.384,0.489,0.873,125.0
1,0.0,13,24,17,46.7,32.7,39.7,58.1,1955,6839,1064,1700,278,968,297,867,0.249,0.338,0.444,0.782,106.0
1,0.0,46,25,15,21.3,20.0,20.7,55.4,1985,7562,985,2055,123,854,216,514,0.272,0.317,0.39,0.707,84.0
1,0.0,9,20,19,14.1,12.9,13.5,56.7,1895,5204,770,1366,265,899,30,717,0.262,0.356,0.477,0.832,117.0
1,0.0,20,24,12,18.9,16.6,17.8,53.4,1640,5503,767,1393,292,976,7,932,0.253,0.361,0.472,0.834,116.0
1,0.0,6,15,13,24.9,22.2,23.5,55.8,1265,4500,644,1186,167,616,36,445,0.264,0.336,0.442,0.778,107.0
1,0.972,181,70,19,85.3,46.8,66.0,55.8,2499,8984,1619,2726,468,1623,150,1512,0.303,0.401,0.529,0.93,141.0
2,0.929,209,59,16,59.5,41.2,50.3,56.7,2147,8155,1328,2590,449,1496,181,737,0.318,0.379,0.553,0.931,140.0
1,0.898,156,57,22,73.1,41.5,57.3,53.4,2543,8422,1583,2328,612,1699,19,1747,0.276,0.402,0.554,0.956,147.0
9,0.7040000000000001,132,50,18,68.4,43.7,56.0,55.8,2055,7213,1219,2247,309,1261,49,1283,0.312,0.418,0.515,0.933,147.0
6,0.564,340,77,22,162.8,72.7,117.7,53.4,2986,9847,2227,2935,762,1996,514,2558,0.298,0.444,0.607,1.051,182.0
1,0.37,120,42,24,45.6,26.8,36.2,55.4,2968,10586,1445,2877,80,951,404,1028,0.272,0.336,0.352,0.688,82.0
8,0.341,148,58,17,72.7,44.7,58.7,56.7,1988,6907,1355,2160,383,1311,230,913,0.313,0.4,0.565,0.965,141.0
9,0.23199999999999998,100,48,19,52.6,36.0,44.3,53.4,2460,8757,1349,2490,493,1550,72,1305,0.284,0.377,0.509,0.886,134.0
2,0.22,226,69,19,69.3,39.9,54.6,53.4,2302,8244,1544,2574,555,1831,38,1329,0.312,0.411,0.585,0.996,154.0
5,0.145,123,51,17,55.5,35.8,45.6,57.0,2298,8498,1320,2461,377,1518,94,801,0.29,0.356,0.5,0.855,123.0
4,0.111,158,61,22,60.5,38.0,49.3,56.7,2576,9217,1636,2689,509,1676,253,1475,0.292,0.393,0.514,0.907,140.0
1,0.102,99,40,17,70.1,43.6,56.9,55.8,2038,7398,1211,2077,316,1287,118,899,0.281,0.364,0.49,0.855,122.0
6,0.078,202,52,18,58.6,43.8,51.2,56.7,2354,8813,1475,2408,609,1667,234,929,0.273,0.344,0.534,0.878,128.0
1,0.073,109,34,17,62.7,46.4,54.6,58.1,2196,7599,1204,1933,434,1289,152,891,0.254,0.337,0.486,0.823,111.0
1,0.019,90,45,18,56.3,33.0,44.6,58.1,2490,9736,1668,2769,235,1139,408,1003,0.284,0.352,0.433,0.785,104.0
1,0.009000000000000001,37,21,10,21.2,21.3,21.3,53.4,1236,4442,656,1253,175,760,13,547,0.282,0.36,0.462,0.822,118.0
1,0.002,79,35,14,28.3,23.3,25.8,53.4,2099,7983,1125,2273,358,1363,125,655,0.285,0.339,0.483,0.821,113.0
1,0.0,30,20,13,20.5,22.7,21.6,53.4,1681,6104,806,1699,242,904,37,571,0.278,0.342,0.464,0.806,114.0
1,0.0,21,18,11,30.9,27.3,29.1,57.0,1345,4825,648,1319,93,542,85,483,0.273,0.341,0.412,0.752,97.0
10,0.8540000000000001,132,50,18,68.4,43.7,56.0,55.8,2055,7213,1219,2247,309,1261,49,1283,0.312,0.418,0.515,0.933,147.0
7,0.591,340,77,22,162.8,72.7,117.7,53.4,2986,9847,2227,2935,762,1996,514,2558,0.298,0.444,0.607,1.051,182.0
9,0.546,148,58,17,72.7,44.7,58.7,56.7,1988,6907,1355,2160,383,1311,230,913,0.313,0.4,0.565,0.965,141.0
2,0.428,120,42,24,45.6,26.8,36.2,55.4,2968,10586,1445,2877,80,951,404,1028,0.272,0.336,0.352,0.688,82.0
10,0.39799999999999996,100,48,19,52.6,36.0,44.3,53.4,2460,8757,1349,2490,493,1550,72,1305,0.284,0.377,0.509,0.886,134.0
3,0.228,226,69,19,69.3,39.9,54.6,53.4,2302,8244,1544,2574,555,1831,38,1329,0.312,0.411,0.585,0.996,154.0
6,0.18100000000000002,123,51,17,55.5,35.8,45.6,57.0,2298,8498,1320,2461,377,1518,94,801,0.29,0.356,0.5,0.855,123.0
2,0.172,99,40,17,70.1,43.6,56.9,55.8,2038,7398,1211,2077,316,1287,118,899,0.281,0.364,0.49,0.855,122.0
1,0.165,175,59,17,61.8,46.6,54.2,53.4,2247,7962,1401,2519,369,1406,37,1335,0.316,0.414,0.539,0.953,133.0
5,0.136,158,61,22,60.5,38.0,49.3,56.7,2576,9217,1636,2689,509,1676,253,1475,0.292,0.393,0.514,0.907,140.0
7,0.085,202,52,18,58.6,43.8,51.2,56.7,2354,8813,1475,2408,609,1667,234,929,0.273,0.344,0.534,0.878,128.0
2,0.075,109,34,17,62.7,46.4,54.6,58.1,2196,7599,1204,1933,434,1289,152,891,0.254,0.337,0.486,0.823,111.0
1,0.021,112,36,14,24.7,21.4,23.1,55.4,1970,7918,1137,2375,185,1030,90,575,0.3,0.346,0.441,0.787,104.0
