Steroids,Name,YoB,Votes,%vote,HOFm,HOFs,Yrs,WAR,WAR7,JAWS,G,AB,R,H,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+
1,X-Brian Roberts,1,0,0,34,24,14,29.5,28.1,28.8,1418,5531,850,1527,97,542,285,609,0.276,0.347,0.409,0.756,101
1,X-Carlos Pena,1,0,0,25,18,14,25.5,24.1,24.8,1493,4949,745,1146,286,818,29,817,0.232,0.346,0.462,0.808,117
0,X-Rafael Furcal,1,0,0,54,32,14,39.5,30.7,35.1,1614,6477,1063,1817,113,587,314,643,0.281,0.346,0.402,0.748,96
0,X-Chone Figgins,1,0,0,18,19,12,22,22.5,22.3,1282,4701,708,1298,35,403,341,540,0.276,0.349,0.363,0.712,92
0,Edgar Martinez,10,363,0.854,132,50,18,68.4,43.7,56,2055,7213,1219,2247,309,1261,49,1283,0.312,0.418,0.515,0.933,147
1,Barry Bonds,7,251,0.591,340,77,22,162.8,72.7,117.8,2986,9847,2227,2935,762,1996,514,2558,0.298,0.444,0.607,1.051,182
0,Larry Walker,9,232,0.546,148,58,17,72.7,44.7,58.7,1988,6907,1355,2160,383,1311,230,913,0.313,0.4,0.565,0.965,141
0,Omar Vizquel,2,182,0.428,120,42,24,45.6,26.8,36.2,2968,10586,1445,2877,80,951,404,1028,0.272,0.336,0.352,0.688,82
0,X-Fred McGriff,10,169,0.398,100,48,19,52.6,36,44.3,2460,8757,1349,2490,493,1550,72,1305,0.284,0.377,0.509,0.886,134
1,Manny Ramirez,3,97,0.228,226,69,19,69.4,40,54.7,2302,8244,1544,2574,555,1831,38,1329,0.312,0.411,0.585,0.996,154
0,Jeff Ken,6,77,0.181,123,51,17,55.4,35.7,45.6,2298,8498,1320,2461,377,1518,94,801,0.29,0.356,0.5,0.855,123
0,Scott Rolen,2,73,0.172,99,40,17,70.2,43.7,56.9,2038,7398,1211,2077,316,1287,118,899,0.281,0.364,0.49,0.855,122
0,Todd Helton,1,70,0.165,175,59,17,61.2,46.5,53.9,2247,7962,1401,2519,369,1406,37,1335,0.316,0.414,0.539,0.953,133
1,Gary Sheffield,5,58,0.136,158,61,22,60.5,38,49.3,2576,9217,1636,2689,509,1676,253,1475,0.292,0.393,0.514,0.907,140
1,Sammy Sos,7,36,0.085,202,52,18,58.6,43.8,51.2,2354,8813,1475,2408,609,1667,234,929,0.273,0.344,0.534,0.878,128
0,Andruw Jones,2,32,0.075,109,34,17,62.8,46.5,54.7,2196,7599,1204,1933,434,1289,152,891,0.254,0.337,0.486,0.823,111
0,X-Michael Young,1,9,0.021,112,36,14,24.6,21.4,23,1970,7918,1137,2375,185,1030,90,575,0.3,0.346,0.441,0.787,104
0,X-Lance Berkman,1,5,0.012,98,44,15,52.1,39.3,45.7,1879,6491,1146,1905,366,1234,86,1201,0.293,0.406,0.537,0.943,144
0,X-Miguel Tejada,1,5,0.012,149,44,16,47.3,36.6,41.9,2171,8434,1230,2407,307,1302,85,553,0.285,0.336,0.456,0.791,108
0,X-Placido Polanco,1,2,0.005,42,26,16,41.5,32.3,36.9,1927,7214,1009,2142,104,723,81,429,0.297,0.343,0.397,0.74,95
0,X-Jason B,1,0,0,47,21,11,24.6,24.6,24.6,1278,4505,737,1200,222,754,95,636,0.266,0.36,0.481,0.841,121
0,X-Juan Pierre,1,0,0,63,23,14,17.1,16.7,16.9,1994,7525,1075,2217,18,517,614,464,0.295,0.343,0.361,0.704,84
0,X-Travis Hafner,1,0,0,31,19,12,24.8,24.6,24.7,1183,4058,619,1107,213,731,11,598,0.273,0.376,0.498,0.874,134
0,X-Kevin Youkilis,1,0,0,29,23,10,32.6,31.2,31.9,1061,3749,653,1053,150,618,26,539,0.281,0.382,0.478,0.861,123
0,X-Rick Ankiel,1,0,0,0,5,11,5.3,6.5,5.9,651,1921,260,462,76,251,21,162,0.24,0.302,0.422,0.724,92
0,X-Vernon Wells,1,0,0,52,19,15,28.5,26.2,27.3,1731,6642,930,1794,270,958,109,472,0.27,0.319,0.459,0.778,104
0,Jeff Bagwell,7,381,0.862,150,59,15,79.9,48.3,64.1,2150,7797,1517,2314,449,1529,202,1401,0.297,0.408,0.54,0.948,149
0,Tim Raines,10,380,0.86,91,47,23,69.4,42.4,55.9,2502,8872,1571,2605,170,980,808,1330,0.294,0.385,0.425,0.81,123
0,Ivan Rodriguez,1,336,0.76,226,59,21,68.7,39.8,54.3,2543,9592,1354,2844,311,1332,127,513,0.296,0.334,0.464,0.798,106
