Rk,Name,YoB,Votes,%vote,HOFm,HOFs,Yrs,WAR,WAR7,JAWS,Jpos,G,AB,R,H,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,W,L,ERA,ERA+,WHIP,G.1,GS,SV,IP,H.1,HR.1,BB.1,SO,Pos Summary
1,Jim Palmer,1st,411,92.6%,193,56,19,68.5,47.4,58.0,61.4,222,489,52,85,3,41,1,16,0.174,0.2,0.215,0.414,18.0,268.0,152.0,2.86,125.0,1.18,558.0,521.0,4.0,3948.0,3349.0,303.0,1311.0,2212.0,*1/HD
2,Joe Morgan,1st,363,81.8%,172,56,22,100.4,59.2,79.8,57.0,2649,9277,1650,2517,268,1133,689,1865,0.271,0.392,0.427,0.819,132.0,,,,,,,,,,,,,,*4H/7D58
3,Gaylord Perry HOF,2nd,320,72.1%,177,57,22,90.0,52.3,71.2,61.4,512,1076,48,141,6,47,0,22,0.131,0.153,0.164,0.316,-10.0,314.0,265.0,3.11,117.0,1.181,777.0,690.0,10.0,5350.0,4938.0,399.0,1379.0,3534.0,*1/H
4,Fergie Jenkins HOF,2nd,296,66.7%,132,53,19,84.2,51.4,67.8,61.4,413,896,54,148,13,85,0,41,0.165,0.2,0.252,0.452,23.0,284.0,226.0,3.34,115.0,1.142,664.0,594.0,7.0,4500.2,4142.0,484.0,997.0,3192.0,*1/H
5,Jim Bunning HOF,14th,257,57.9%,98,42,17,59.4,48.9,54.2,61.4,601,1275,82,213,7,75,0,34,0.167,0.188,0.206,0.395,9.0,224.0,184.0,3.27,115.0,1.179,591.0,519.0,16.0,3760.1,3433.0,372.0,1000.0,2855.0,*1/H
6,Orlando Cepeda HOF,11th,211,47.5%,126,37,17,50.1,34.5,42.3,53.4,2124,7927,1131,2351,379,1365,142,588,0.297,0.35,0.499,0.849,133.0,,,,,,,,,,,,,,*37DH/95
7,Tony Oliva HOF,9th,142,32.0%,114,29,15,43.0,38.6,40.8,56.7,1676,6301,870,1917,220,947,86,448,0.304,0.353,0.476,0.83,131.0,,,,,,,,,,,,,,*9*DH8/7
8,Bill Mazeroski HOF,13th,131,29.5%,71,16,17,36.6,26.1,31.3,57.0,2163,7755,769,2016,138,853,27,447,0.26,0.299,0.367,0.667,84.0,,,,,,,,,,,,,,*4H/5
9,Harvey Kuenn,14th,107,24.1%,100,27,15,25.9,22.1,24.0,55.4,1833,6913,950,2092,87,671,68,594,0.303,0.357,0.408,0.765,108.0,,,,,,,,,,,,,,*6*7*98H53
10,Ron Santo HOF,7th,96,21.6%,88,41,15,70.5,53.8,62.2,55.8,2243,8143,1138,2254,342,1331,35,1108,0.277,0.362,0.464,0.826,125.0,,,,,,,,,,,,,,*5D4/H673
11,Maury Wills,13th,95,21.4%,104,29,14,39.6,29.5,34.5,55.4,1942,7588,1067,2134,20,458,586,552,0.281,0.33,0.331,0.661,88.0,,,,,,,,,,,,,,*6*5H/4
12,Jim Kaat HOF,2nd,79,17.8%,130,44,25,50.5,38.1,44.3,61.4,840,1251,117,232,16,106,5,63,0.185,0.227,0.267,0.494,37.0,283.0,237.0,3.45,108.0,1.259,898.0,625.0,17.0,4530.1,4620.0,395.0,1083.0,2461.0,*1H/D
13,Ken Boyer,11th,78,17.6%,87,36,15,62.8,46.2,54.5,55.8,2034,7455,1104,2143,282,1141,105,713,0.287,0.349,0.462,0.81,116.0,,,,,,,,,,,,,,*58H36
14,Dick Allen,7th,58,13.1%,99,39,15,58.7,45.9,52.3,55.8,1749,6332,1099,1848,351,1119,133,894,0.292,0.378,0.534,0.912,156.0,,,,,,,,,,,,,,*3*57H/4D68
15,Joe Torre HOF,8th,55,12.4%,96,40,18,57.5,37.2,47.4,53.4,2209,7874,996,2342,252,1185,23,779,0.297,0.365,0.452,0.817,129.0,,,,,,,,,,,,,,*2*3*5H/7
16,Minnie Minoso HOF,6th,51,11.5%,104,37,20,53.2,39.7,46.4,53.4,1948,7059,1228,2113,195,1089,216,848,0.299,0.387,0.461,0.848,130.0,,,,,,,,,,,,,,*759H8/36D
17,X-Roy Face,15th,50,11.3%,47,11,16,20.6,18.0,19.3,32.5,853,194,9,31,0,7,0,2,0.16,0.168,0.175,0.344,-6.0,104.0,95.0,3.48,109.0,1.243,848.0,27.0,191.0,1375.0,1347.0,141.0,362.0,877.0,*1/H
18,Luis Tiant,3rd,42,9.5%,97,41,19,66.1,44.2,55.1,61.4,305,513,36,84,5,44,1,13,0.164,0.185,0.224,0.409,17.0,229.0,172.0,3.3,114.0,1.199,573.0,484.0,15.0,3486.1,3075.0,346.0,1104.0,2416.0,*1
19,Vada Pinson,9th,36,8.1%,95,36,18,54.1,40.0,47.1,58.1,2469,9645,1365,2757,256,1169,305,574,0.286,0.327,0.442,0.769,111.0,,,,,,,,,,,,,,*8*97H/3D
20,Curt Flood,9th,35,7.9%,59,16,15,41.9,32.7,37.3,58.1,1759,6357,851,1861,85,636,88,444,0.293,0.342,0.389,0.732,100.0,,,,,,,,,,,,,,*8H/5749
21,Thurman Munson,10th,33,7.4%,90,29,11,46.1,37.0,41.5,44.2,1423,5344,696,1558,113,701,48,438,0.292,0.346,0.41,0.756,116.0,,,,,,,,,,,,,,*2DH/9375
22,Bobby Bonds,4th,30,6.8%,66,36,14,57.9,41.1,49.5,56.7,1849,7043,1258,1886,332,1024,461,914,0.268,0.353,0.471,0.824,129.0,,,,,,,,,,,,,,*98D7H
23,Mickey Lolich,6th,27,6.1%,99,37,16,48.0,37.8,42.9,61.4,477,821,63,90,0,31,1,105,0.11,0.215,0.121,0.335,-2.0,217.0,191.0,3.44,104.0,1.227,586.0,496.0,10.0,3638.1,3366.0,347.0,1099.0,2832.0,*1/H
24,Sparky Lyle,3rd,25,5.6%,65,18,16,23.2,19.1,21.2,32.5,419,78,8,15,0,4,1,5,0.192,0.241,0.218,0.459,31.0,99.0,76.0,2.88,128.0,1.275,899.0,0.0,238.0,1390.1,1292.0,84.0,481.0,873.0,*1
25,X-Tug McGraw,1st,6,1.4%,35,12,19,21.8,20.0,20.9,32.5,826,214,14,39,1,18,0,10,0.182,0.221,0.229,0.45,26.0,96.0,92.0,3.14,117.0,1.254,824.0,39.0,180.0,1514.2,1318.0,108.0,582.0,1109.0,*1/H
26,X-Bucky Dent,1st,3,0.7%,23,14,12,17.5,17.2,17.4,55.4,1392,4512,451,1114,40,423,17,328,0.247,0.297,0.321,0.618,74.0,,,,,,,,,,,,,,*6/H45D
27,X-Bob Watson,1st,3,0.7%,28,24,19,28.3,24.4,26.3,53.4,1832,6185,802,1826,184,989,27,653,0.295,0.364,0.447,0.811,129.0,,,,,,,,,,,,,,*3*7HD/29
28,X-Rick Monday,1st,2,0.5%,15,21,19,33.1,22.9,28.0,58.1,1986,6136,950,1619,241,775,98,924,0.264,0.361,0.443,0.804,125.0,,,,,,,,,,,,,,*8H973
29,X-Lou Piniella,1st,2,0.5%,21,14,18,12.4,16.2,14.3,53.4,1747,5867,651,1705,102,766,32,368,0.291,0.333,0.409,0.741,109.0,,,,,,,,,,,,,,*79HD/83
30,X-Mickey Rivers,1st,2,0.5%,35,16,15,32.7,27.7,30.2,58.1,1468,5629,785,1660,61,499,267,266,0.295,0.327,0.397,0.724,106.0,,,,,,,,,,,,,,*8HD79
31,X-Mike Torrez,1st,1,0.2%,37,18,18,22.9,20.7,21.8,61.4,229,412,24,64,0,15,1,10,0.155,0.179,0.18,0.359,0.0,185.0,160.0,3.96,98.0,1.45,494.0,458.0,0.0,3043.2,3043.0,223.0,1371.0,1404.0,*1/H
32,X-Greg Luzinski,1st,1,0.2%,53,26,15,26.3,22.4,24.3,53.4,1821,6505,880,1795,307,1128,37,845,0.276,0.363,0.478,0.84,130.0,,,,,,,,,,,,,,*7*DH3/9
33,X-Jim Bibby,1st,1,0.2%,21,9,12,19.4,19.8,19.6,61.4,159,209,15,31,5,17,0,13,0.148,0.208,0.249,0.457,25.0,111.0,101.0,3.76,99.0,1.328,340.0,239.0,8.0,1722.2,1565.0,131.0,723.0,1079.0,*1/DH
34,X-Jerry Remy,1st,1,0.2%,3,17,10,14.6,13.5,14.0,57.0,1154,4455,605,1226,7,329,208,356,0.275,0.327,0.328,0.656,82.0,,,,,,,,,,,,,,*4H/D596
35,X-Tony Scott,1st,0,0.0%,0,2,11,4.3,6.3,5.3,58.1,991,2803,331,699,17,253,125,186,0.249,0.297,0.327,0.625,74.0,,,,,,,,,,,,,,*8H79
36,X-Ken Singleton,1st,0,0.0%,39,30,15,41.8,33.8,37.8,56.7,2082,7189,985,2029,246,1065,21,1263,0.282,0.388,0.436,0.824,132.0,,,,,,,,,,,,,,*9*D7H/8
37,X-Paul Splittorff,1st,0,0.0%,24,16,15,23.0,18.8,20.9,61.4,64,121,12,22,0,4,0,7,0.182,0.233,0.207,0.439,30.0,166.0,143.0,3.81,101.0,1.34,429.0,392.0,1.0,2554.2,2644.0,192.0,780.0,1057.0,*1/H
38,X-John Stearns,1st,0,0.0%,12,6,11,19.7,19.4,19.6,44.2,810,2681,334,696,46,312,91,323,0.26,0.341,0.375,0.717,102.0,,,,,,,,,,,,,,*2H3/57
39,X-Champ Summers,1st,0,0.0%,0,10,11,3.0,4.3,3.7,56.7,698,1371,199,350,54,218,15,188,0.255,0.35,0.425,0.776,112.0,,,,,,,,,,,,,,*H9D73/52
40,X-Dick Tidrow,1st,0,0.0%,11,9,13,13.4,14.0,13.7,32.5,315,95,6,9,0,7,0,3,0.095,0.122,0.095,0.217,-37.0,100.0,94.0,3.68,102.0,1.308,620.0,138.0,55.0,1746.2,1705.0,163.0,579.0,975.0,*1
41,X-Amos Otis,1st,0,0.0%,42,27,17,42.8,32.5,37.7,58.1,1998,7299,1092,2020,193,1007,341,757,0.277,0.343,0.425,0.768,115.0,,,,,,,,,,,,,,*8H79/D5
42,X-Mike Caldwell,1st,0,0.0%,28,11,14,18.4,20.7,19.5,61.4,237,216,11,34,0,8,0,4,0.157,0.172,0.19,0.362,2.0,137.0,130.0,3.81,99.0,1.319,475.0,307.0,18.0,2408.2,2581.0,218.0,597.0,939.0,*1/H
43,X-Jose Morales,1st,0,0.0%,5,9,12,0.1,1.9,1.0,53.4,733,1305,126,375,26,207,0,89,0.287,0.332,0.408,0.741,103.0,,,,,,,,,,,,,,*HD32/7
44,X-Roy Howell,1st,0,0.0%,6,10,11,10.9,11.4,11.2,55.8,1112,3791,422,991,80,454,9,318,0.261,0.321,0.389,0.71,98.0,,,,,,,,,,,,,,*5DH/397
1,Rod Carew,1st,401,90.5%,243,55,19,81.2,49.8,65.5,57.0,2469,9315,1424,3053,92,1015,353,1018,0.328,0.393,0.429,0.822,131.0,,,,,,,,,,,,,,*3*4HD/657
2,Gaylord Perry,3rd,342,77.2%,177,57,22,90.0,52.3,71.2,61.4,512,1076,48,141,6,47,0,22,0.131,0.153,0.164,0.316,-10.0,314.0,265.0,3.11,117.0,1.181,777.0,690.0,10.0,5350.0,4938.0,399.0,1379.0,3534.0,*1/H
3,Fergie Jenkins,3rd,334,75.4%,132,53,19,84.2,51.4,67.8,61.4,413,896,54,148,13,85,0,41,0.165,0.2,0.252,0.452,23.0,284.0,226.0,3.34,115.0,1.142,664.0,594.0,7.0,4500.2,4142.0,484.0,997.0,3192.0,*1/H
4,Rollie Fingers HOF,1st,291,65.7%,128,18,17,25.6,18.8,22.2,32.5,497,180,10,31,2,9,0,3,0.172,0.186,0.222,0.408,17.0,114.0,118.0,2.9,120.0,1.156,944.0,37.0,341.0,1701.1,1474.0,123.0,492.0,1299.0,*1/H
5,X-Jim Bunning HOF,15th,282,63.7%,98,42,17,59.4,48.9,54.2,61.4,601,1275,82,213,7,75,0,34,0.167,0.188,0.206,0.395,9.0,224.0,184.0,3.27,115.0,1.179,591.0,519.0,16.0,3760.1,3433.0,372.0,1000.0,2855.0,*1/H
6,Orlando Cepeda HOF,12th,192,43.3%,126,37,17,50.1,34.5,42.3,53.4,2124,7927,1131,2351,379,1365,142,588,0.297,0.35,0.499,0.849,133.0,,,,,,,,,,,,,,*37DH/95
7,Tony Oliva HOF,10th,160,36.1%,114,29,15,43.0,38.6,40.8,56.7,1676,6301,870,1917,220,947,86,448,0.304,0.353,0.476,0.83,131.0,,,,,,,,,,,,,,*9*DH8/7
8,Bill Mazeroski HOF,14th,142,32.1%,71,16,17,36.6,26.1,31.3,57.0,2163,7755,769,2016,138,853,27,447,0.26,0.299,0.367,0.667,84.0,,,,,,,,,,,,,,*4H/5
9,Ron Santo HOF,8th,116,26.2%,88,41,15,70.5,53.8,62.2,55.8,2243,8143,1138,2254,342,1331,35,1108,0.277,0.362,0.464,0.826,125.0,,,,,,,,,,,,,,*5D4/H673
10,X-Harvey Kuenn,15th,100,22.6%,100,27,15,25.9,22.1,24.0,55.4,1833,6913,950,2092,87,671,68,594,0.303,0.357,0.408,0.765,108.0,,,,,,,,,,,,,,*6*7*98H53
11,Jim Kaat HOF,3rd,62,14.0%,130,44,25,50.5,38.1,44.3,61.4,840,1251,117,232,16,106,5,63,0.185,0.227,0.267,0.494,37.0,283.0,237.0,3.45,108.0,1.259,898.0,625.0,17.0,4530.1,4620.0,395.0,1083.0,2461.0,*1H/D
12,Maury Wills,14th,61,13.8%,104,29,14,39.6,29.5,34.5,55.4,1942,7588,1067,2134,20,458,586,552,0.281,0.33,0.331,0.661,88.0,,,,,,,,,,,,,,*6*5H/4
13,Dick Allen,8th,59,13.3%,99,39,15,58.7,45.9,52.3,55.8,1749,6332,1099,1848,351,1119,133,894,0.292,0.378,0.534,0.912,156.0,,,,,,,,,,,,,,*3*57H/4D68
14,Ken Boyer,12th,58,13.1%,87,36,15,62.8,46.2,54.5,55.8,2034,7455,1104,2143,282,1141,105,713,0.287,0.349,0.462,0.81,116.0,,,,,,,,,,,,,,*58H36
15,Joe Torre HOF,9th,41,9.3%,96,40,18,57.5,37.2,47.4,53.4,2209,7874,996,2342,252,1185,23,779,0.297,0.365,0.452,0.817,129.0,,,,,,,,,,,,,,*2*3*5H/7
16,Bobby Bonds,5th,39,8.8%,66,36,14,57.9,41.1,49.5,56.7,1849,7043,1258,1886,332,1024,461,914,0.268,0.353,0.471,0.824,129.0,,,,,,,,,,,,,,*98D7H
17,Minnie Minoso HOF,7th,38,8.6%,104,37,20,53.2,39.7,46.4,53.4,1948,7059,1228,2113,195,1089,216,848,0.299,0.387,0.461,0.848,130.0,,,,,,,,,,,,,,*759H8/36D
18,Mickey Lolich,7th,33,7.4%,99,37,16,48.0,37.8,42.9,61.4,477,821,63,90,0,31,1,105,0.11,0.215,0.121,0.335,-2.0,217.0,191.0,3.44,104.0,1.227,586.0,496.0,10.0,3638.1,3366.0,347.0,1099.0,2832.0,*1/H
19,Luis Tiant,4th,32,7.2%,97,41,19,66.1,44.2,55.1,61.4,305,513,36,84,5,44,1,13,0.164,0.185,0.224,0.409,17.0,229.0,172.0,3.3,114.0,1.199,573.0,484.0,15.0,3486.1,3075.0,346.0,1104.0,2416.0,*1
20,Vada Pinson,10th,30,6.8%,95,36,18,54.1,40.0,47.1,58.1,2469,9645,1365,2757,256,1169,305,574,0.286,0.327,0.442,0.769,111.0,,,,,,,,,,,,,,*8*97H/3D
21,Thurman Munson,11th,28,6.3%,90,29,11,46.1,37.0,41.5,44.2,1423,5344,696,1558,113,701,48,438,0.292,0.346,0.41,0.756,116.0,,,,,,,,,,,,,,*2DH/9375
22,Rusty Staub,1st,28,6.3%,59,38,23,45.8,33.3,39.5,56.7,2951,9720,1189,2716,292,1466,47,1255,0.279,0.362,0.431,0.793,124.0,,,,,,,,,,,,,,*9*D*H*37/8
23,Curt Flood,10th,23,5.2%,59,16,15,41.9,32.7,37.3,58.1,1759,6357,851,1861,85,636,88,444,0.293,0.342,0.389,0.732,100.0,,,,,,,,,,,,,,*8H/5749
24,X-Al Oliver,1st,19,4.3%,117,40,18,43.6,28.1,35.9,58.1,2368,9049,1189,2743,219,1326,84,535,0.303,0.344,0.451,0.795,121.0,,,,,,,,,,,,,,*8*3*7DH9
25,X-Sparky Lyle,4th,15,3.4%,65,18,16,23.2,19.1,21.2,32.5,419,78,8,15,0,4,1,5,0.192,0.241,0.218,0.459,31.0,99.0,76.0,2.88,128.0,1.275,899.0,0.0,238.0,1390.1,1292.0,84.0,481.0,873.0,*1
26,X-Larry Bowa,1st,11,2.5%,71,21,16,22.8,21.5,22.1,55.4,2247,8418,987,2191,15,525,318,474,0.26,0.3,0.32,0.62,71.0,,,,,,,,,,,,,,*6H/4
27,X-Jerry Koosman,1st,4,0.9%,59,33,19,53.7,36.5,45.1,61.4,431,915,36,109,2,46,1,33,0.119,0.151,0.141,0.292,-17.0,222.0,209.0,3.36,110.0,1.259,612.0,527.0,17.0,3839.1,3635.0,290.0,1198.0,2556.0,*1
28,X-Mike Jorgensen,1st,1,0.2%,4,10,17,9.0,10.4,9.7,53.4,1633,3421,429,833,95,426,58,532,0.243,0.347,0.373,0.72,101.0,,,,,,,,,,,,,,*3*H798/D
29,X-Burt Hooton,1st,1,0.2%,41,22,15,35.5,29.8,32.7,61.4,452,748,42,92,4,49,0,44,0.123,0.173,0.163,0.336,-6.0,151.0,136.0,3.38,108.0,1.243,480.0,377.0,7.0,2652.0,2497.0,193.0,799.0,1491.0,*1/H
30,X-Richie Hebner,1st,1,0.2%,12,19,18,33.0,23.4,28.2,55.8,1908,6144,865,1694,203,890,38,687,0.276,0.352,0.438,0.79,119.0,,,,,,,,,,,,,,*5*3HD/974
31,X-John Lowenstein,1st,1,0.2%,7,13,16,9.9,12.2,11.1,53.4,1368,3476,510,881,116,441,128,446,0.253,0.337,0.403,0.741,108.0,,,,,,,,,,,,,,*7*H9D548/36
32,X-Mike Hargrove,1st,1,0.2%,14,19,12,30.3,24.3,27.3,53.4,1666,5564,783,1614,80,686,24,965,0.29,0.396,0.391,0.787,121.0,,,,,,,,,,,,,,*37HD
33,X-Ellis Valentine,1st,1,0.2%,5,9,10,17.1,17.4,17.2,56.7,894,3166,380,881,123,474,59,180,0.278,0.315,0.458,0.773,113.0,,,,,,,,,,,,,,*98H/7D
34,X-Jeff Burroughs,1st,1,0.2%,35,19,16,17.8,16.4,17.1,56.7,1689,5536,720,1443,240,882,16,831,0.261,0.355,0.439,0.795,121.0,,,,,,,,,,,,,,*9*7DH/3
35,X-John Wathan,1st,0,0.0%,3,3,10,5.0,7.6,6.3,44.2,860,2505,305,656,21,261,105,199,0.262,0.318,0.343,0.661,83.0,,,,,,,,,,,,,,*23H9/7D
36,X-Pat Zachry,1st,0,0.0%,10,6,10,10.7,10.5,10.6,61.4,293,318,9,36,0,6,0,14,0.113,0.15,0.113,0.263,-25.0,69.0,67.0,3.52,102.0,1.395,293.0,154.0,3.0,1177.1,1147.0,88.0,495.0,669.0,1
37,X-Geoff Zahn,1st,0,0.0%,5,7,13,20.3,20.7,20.5,61.4,48,43,3,6,0,1,0,0,0.14,0.14,0.14,0.279,-21.0,111.0,109.0,3.74,107.0,1.354,304.0,270.0,1.0,1849.0,1978.0,149.0,526.0,705.0,*1
38,X-Bruce Kison,1st,0,0.0%,11,15,15,15.1,13.2,14.2,61.4,263,404,31,66,3,31,2,16,0.163,0.2,0.248,0.448,24.0,115.0,88.0,3.66,102.0,1.301,380.0,246.0,12.0,1809.2,1693.0,150.0,662.0,1073.0,*1/H
39,X-Steve Rogers,1st,0,0.0%,48,23,13,44.7,36.8,40.8,61.4,406,881,47,122,0,39,1,61,0.138,0.195,0.152,0.347,-2.0,158.0,152.0,3.17,116.0,1.232,399.0,393.0,2.0,2837.2,2619.0,151.0,876.0,1621.0,*1/H
40,X-Art Howe,1st,0,0.0%,0,5,11,13.8,14.3,14.1,55.8,891,2626,268,682,43,293,10,275,0.26,0.329,0.379,0.708,103.0,,,,,,,,,,,,,,*54H3/6
41,X-Larry Gura,1st,0,0.0%,25,17,16,21.4,20.7,21.0,61.4,62,33,1,3,0,1,0,2,0.091,0.143,0.091,0.234,-36.0,126.0,97.0,3.76,106.0,1.28,403.0,261.0,14.0,2047.0,2020.0,204.0,600.0,801.0,*1/HD
42,X-Oscar Gamble,1st,0,0.0%,8,17,17,22.9,20.1,21.5,56.7,1584,4502,656,1195,200,666,47,610,0.265,0.356,0.454,0.811,127.0,,,,,,,,,,,,,,*D*9*H78/3
43,X-Rich Dauer,1st,0,0.0%,8,12,10,14.4,14.3,14.3,57.0,1140,3829,448,984,43,372,6,297,0.257,0.31,0.343,0.653,83.0,,,,,,,,,,,,,,*45H/D3
44,X-Al Bumbry,1st,0,0.0%,29,15,14,24.5,22.1,23.3,58.1,1496,5053,778,1422,54,402,254,471,0.281,0.343,0.378,0.721,104.0,,,,,,,,,,,,,,*8*7HD9
45,X-Bob Bailor,1st,0,0.0%,3,1,11,8.9,9.2,9.0,55.4,954,2937,339,775,9,222,90,187,0.264,0.31,0.325,0.636,77.0,0.0,0.0,7.71,65.0,2.143,3.0,0.0,0.0,2.1,4.0,0.0,1.0,0.0,9645H87/D1
1,Tom Seaver,1st,425,98.8%,244,66,20,109.9,59.4,84.7,61.4,582,1315,99,202,12,86,4,108,0.154,0.219,0.21,0.429,22.0,311.0,205.0,2.86,127.0,1.121,656.0,647.0,1.0,4783.0,3971.0,380.0,1390.0,3640.0,*1/H
2,Rollie Fingers,2nd,349,81.2%,128,18,17,25.6,18.8,22.2,32.5,497,180,10,31,2,9,0,3,0.172,0.186,0.222,0.408,17.0,114.0,118.0,2.9,120.0,1.156,944.0,37.0,341.0,1701.1,1474.0,123.0,492.0,1299.0,*1/H
3,Orlando Cepeda HOF,13th,246,57.2%,126,37,17,50.1,34.5,42.3,53.4,2124,7927,1131,2351,379,1365,142,588,0.297,0.35,0.499,0.849,133.0,,,,,,,,,,,,,,*37DH/95
4,Tony Perez HOF,1st,215,50.0%,81,41,23,54.0,36.5,45.3,53.4,2777,9778,1272,2732,379,1652,49,925,0.279,0.341,0.463,0.804,122.0,,,,,,,,,,,,,,*3*5HD/4
5,X-Bill Mazeroski HOF,15th,182,42.3%,71,16,17,36.6,26.1,31.3,57.0,2163,7755,769,2016,138,853,27,447,0.26,0.299,0.367,0.667,84.0,,,,,,,,,,,,,,*4H/5
6,Tony Oliva HOF,11th,175,40.7%,114,29,15,43.0,38.6,40.8,56.7,1676,6301,870,1917,220,947,86,448,0.304,0.353,0.476,0.83,131.0,,,,,,,,,,,,,,*9*DH8/7
7,Ron Santo HOF,9th,136,31.6%,88,41,15,70.5,53.8,62.2,55.8,2243,8143,1138,2254,342,1331,35,1108,0.277,0.362,0.464,0.826,125.0,,,,,,,,,,,,,,*5D4/H673
8,Jim Kaat HOF,4th,114,26.5%,130,44,25,50.5,38.1,44.3,61.4,840,1251,117,232,16,106,5,63,0.185,0.227,0.267,0.494,37.0,283.0,237.0,3.45,108.0,1.259,898.0,625.0,17.0,4530.1,4620.0,395.0,1083.0,2461.0,*1H/D
9,X-Maury Wills,15th,110,25.6%,104,29,14,39.6,29.5,34.5,55.4,1942,7588,1067,2134,20,458,586,552,0.281,0.33,0.331,0.661,88.0,,,,,,,,,,,,,,*6*5H/4
10,Ken Boyer,13th,71,16.5%,87,36,15,62.8,46.2,54.5,55.8,2034,7455,1104,2143,282,1141,105,713,0.287,0.349,0.462,0.81,116.0,,,,,,,,,,,,,,*58H36
11,Dick Allen,9th,69,16.0%,99,39,15,58.7,45.9,52.3,55.8,1749,6332,1099,1848,351,1119,133,894,0.292,0.378,0.534,0.912,156.0,,,,,,,,,,,,,,*3*57H/4D68
12,Minnie Minoso HOF,8th,69,16.0%,104,37,20,53.2,39.7,46.4,53.4,1948,7059,1228,2113,195,1089,216,848,0.299,0.387,0.461,0.848,130.0,,,,,,,,,,,,,,*759H8/36D
13,Joe Torre HOF,10th,62,14.4%,96,40,18,57.5,37.2,47.4,53.4,2209,7874,996,2342,252,1185,23,779,0.297,0.365,0.452,0.817,129.0,,,,,,,,,,,,,,*2*3*5H/7
14,Luis Tiant,5th,50,11.6%,97,41,19,66.1,44.2,55.1,61.4,305,513,36,84,5,44,1,13,0.164,0.185,0.224,0.409,17.0,229.0,172.0,3.3,114.0,1.199,573.0,484.0,15.0,3486.1,3075.0,346.0,1104.0,2416.0,*1
15,Mickey Lolich,8th,45,10.5%,99,37,16,48.0,37.8,42.9,61.4,477,821,63,90,0,31,1,105,0.11,0.215,0.121,0.335,-2.0,217.0,191.0,3.44,104.0,1.227,586.0,496.0,10.0,3638.1,3366.0,347.0,1099.0,2832.0,*1/H
16,Curt Flood,11th,42,9.8%,59,16,15,41.9,32.7,37.3,58.1,1759,6357,851,1861,85,636,88,444,0.293,0.342,0.389,0.732,100.0,,,,,,,,,,,,,,*8H/5749
17,Pete Rose,1st,41,9.5%,311,55,24,79.6,44.9,62.2,53.4,3562,14053,2165,4256,160,1314,198,1566,0.303,0.375,0.409,0.784,118.0,,,,,,,,,,,,,,*3*7*5*4*9H8
18,Bobby Bonds,6th,40,9.3%,66,36,14,57.9,41.1,49.5,56.7,1849,7043,1258,1886,332,1024,461,914,0.268,0.353,0.471,0.824,129.0,,,,,,,,,,,,,,*98D7H
19,Vada Pinson,11th,36,8.4%,95,36,18,54.1,40.0,47.1,58.1,2469,9645,1365,2757,256,1169,305,574,0.286,0.327,0.442,0.769,111.0,,,,,,,,,,,,,,*8*97H/3D
20,Thurman Munson,12th,32,7.4%,90,29,11,46.1,37.0,41.5,44.2,1423,5344,696,1558,113,701,48,438,0.292,0.346,0.41,0.756,116.0,,,,,,,,,,,,,,*2DH/9375
21,Rusty Staub,2nd,26,6.0%,59,38,23,45.8,33.3,39.5,56.7,2951,9720,1189,2716,292,1466,47,1255,0.279,0.362,0.431,0.793,124.0,,,,,,,,,,,,,,*9*D*H*37/8
22,George Foster,1st,24,5.6%,92,27,18,44.1,36.8,40.5,53.4,1977,7023,986,1925,348,1239,51,666,0.274,0.338,0.48,0.818,126.0,,,,,,,,,,,,,,*789H/D3
23,Vida Blue,1st,23,5.3%,114,35,17,45.1,38.3,41.7,61.4,273,512,37,53,4,15,0,49,0.104,0.186,0.145,0.33,-4.0,209.0,161.0,3.27,108.0,1.233,502.0,473.0,2.0,3343.1,2939.0,263.0,1185.0,2175.0,*1/H
24,X-Bobby Grich,1st,11,2.6%,43,32,17,71.1,46.4,58.7,57.0,2008,6890,1033,1833,224,864,104,1087,0.266,0.371,0.424,0.794,125.0,,,,,,,,,,,,,,*463H5/D
25,X-Dusty Baker,1st,4,0.9%,25,24,19,37.0,26.2,31.6,53.4,2039,7117,964,1981,242,1013,137,762,0.278,0.347,0.432,0.779,116.0,,,,,,,,,,,,,,*7*8*9H3/D
26,X-Dave Kingman,1st,3,0.7%,49,23,16,17.3,16.0,16.7,53.4,1941,6677,901,1575,442,1210,85,608,0.236,0.302,0.478,0.78,115.0,0.0,0.0,9.0,47.0,2.25,2.0,0.0,0.0,4.0,3.0,0.0,6.0,4.0,*3*7*DH59/1
27,X-Bill Russell,1st,3,0.7%,26,15,18,31.4,21.3,26.4,55.4,2181,7318,796,1926,46,627,167,483,0.263,0.31,0.338,0.648,83.0,,,,,,,,,,,,,,*69H847/5
28,X-Steve Yeager,1st,2,0.5%,32,23,15,17.9,14.8,16.3,44.2,1269,3584,357,816,102,410,14,342,0.228,0.298,0.355,0.653,83.0,,,,,,,,,,,,,,*2H
29,X-Cesar Cedeno,1st,2,0.5%,43,28,17,52.9,41.4,47.2,58.1,2006,7310,1084,2087,199,976,550,664,0.285,0.347,0.443,0.79,123.0,,,,,,,,,,,,,,*8397H
30,X-Dennis Leonard,1st,1,0.2%,39,21,12,25.7,24.0,24.9,61.4,3,0,0,0,0,0,0,0,,,,,,144.0,106.0,3.7,107.0,1.262,312.0,302.0,1.0,2187.0,2137.0,202.0,622.0,1323.0,*1/D
